customer_id,days_since_last_purchase,total_transactions,lifetime_value,avg_order_value,total_events,unique_sessions,purchase_count,avg_basket_size,conversion,active_days,time_on_platform_days,discount_usage_ratio,wishlist_count,cart_sessions,return_rate,cat_Accessories,cat_Garment_Lower_body,cat_Garment_Upper_body
00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,2087,4,0.14,0.035,33,33,4,0.0,0.12121212121212122,29,0,0.0,0,0,0.0,0.0,3.0,30.0
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,2294,5,0.36000000000000004,0.07200000000000001,33,33,5,0.0,0.15151515151515152,32,0,0.0,0,0,0.0,0.0,7.0,26.0
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,1909,1,0.06,0.06,45,45,1,0.0,0.022222222222222223,41,0,0.0,0,0,0.0,1.0,4.0,40.0
00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,2251,2,0.1,0.05,43,43,2,0.0,0.046511627906976744,42,0,0.0,0,0,0.0,0.0,6.0,37.0
0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,2238,1,0.03,0.03,33,33,1,0.0,0.030303030303030304,32,0,0.0,0,0,0.0,0.0,6.0,27.0
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,2205,5,0.67,0.134,36,36,5,0.0,0.1388888888888889,34,0,0.0,0,0,0.0,0.0,3.0,33.0
00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,2582,1,0.04,0.04,42,42,1,0.0,0.023809523809523808,40,0,0.0,0,0,0.0,0.0,4.0,38.0
000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,2591,1,0.01,0.01,39,39,1,0.0,0.02564102564102564,36,0,0.0,0,0,0.0,0.0,9.0,30.0
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,1938,20,0.93,0.0465,51,51,20,0.0,0.39215686274509803,46,0,0.0,0,0,0.0,1.0,16.0,34.0
0000b2f1829e23b24feec422ef13df3ccedaedc85368e6664d04ca30b2f8daff,1926,2,0.05,0.025,42,42,2,0.0,0.047619047619047616,38,0,0.0,0,0,0.0,0.0,6.0,36.0
0000e9a4db2da4e9c68558ad1e7df570d02767b213ec6bcb10283ab05ee53015,2517,1,0.03,0.03,39,39,1,0.0,0.02564102564102564,38,0,0.0,0,0,0.0,0.0,6.0,33.0
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,1967,15,0.77,0.051333333333333335,48,48,15,0.0,0.3125,42,0,0.0,0,0,0.0,1.0,7.0,40.0
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,2265,3,0.16,0.05333333333333334,43,43,3,0.0,0.06976744186046512,42,0,0.0,0,0,0.0,0.0,8.0,35.0
0001076e215991bad544dd3e7312f78d9f576a1cc3ddc407b2bc9024794ead5f,2143,2,0.14,0.07,43,43,2,0.0,0.046511627906976744,41,0,0.0,0,0,0.0,0.0,7.0,36.0
000114c6996ef5703a8d455faf2103f8488d3928348e0739c92ff9e8897932db,1996,3,0.09,0.03,50,50,3,0.0,0.06,45,0,0.0,0,0,0.0,1.0,11.0,38.0
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,2367,6,0.25,0.041666666666666664,35,35,6,0.0,0.17142857142857143,34,0,0.0,0,0,0.0,0.0,4.0,31.0
000172a9c322560c849754ffbdfdb2180d408aa7176b943f957804686be8e1f0,1920,5,0.13,0.026000000000000002,40,40,5,0.0,0.125,39,0,0.0,0,0,0.0,0.0,8.0,32.0
0001ab2ebc1bb9a21d135e2fefdb11f12bee5c74ab29842a6d2ffd71316bf048,2116,5,0.13,0.026000000000000002,39,39,5,0.0,0.1282051282051282,36,0,0.0,0,0,0.0,0.0,5.0,34.0
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,1933,47,2.83,0.06021276595744681,87,87,47,0.0,0.5402298850574713,76,0,0.0,0,0,0.0,0.0,28.0,59.0
0001e7a9c3a9749ef86fd992a8a9cb487ba609b8763c7c01ad9bb0ceb130b4ec,2574,1,0.07,0.07,48,48,1,0.0,0.020833333333333332,45,0,0.0,0,0,0.0,1.0,6.0,41.0
0001f8cef6b9702d54abf66fd89eb21014bf98567065a9b5e42f37bc99528cf5,2601,4,0.42,0.105,38,38,4,0.0,0.10526315789473684,36,0,0.0,0,0,0.0,0.0,5.0,33.0
00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,2433,2,0.11,0.055,33,33,2,0.0,0.06060606060606061,33,0,0.0,0,0,0.0,1.0,3.0,29.0
00023182883c3d537185d3e2d8ec2cb20bd4732f3869416f321d662c4fac7187,2510,2,0.08,0.04,38,38,2,0.0,0.05263157894736842,38,0,0.0,0,0,0.0,0.0,3.0,35.0
00023e3dd8618bc63ccad995a5ac62e21177338d642d66b42e0038c6b10f655a,2026,8,0.22999999999999998,0.028749999999999998,51,51,8,0.0,0.1568627450980392,47,0,0.0,0,0,0.0,0.0,9.0,42.0
000253f6914890557a88d0b91288ce85fae9332dac43ee5445c33e3891df6fd3,2514,1,0.03,0.03,30,30,1,0.0,0.03333333333333333,30,0,0.0,0,0,0.0,0.0,3.0,27.0
00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,2523,5,0.21000000000000002,0.042,49,49,5,0.0,0.10204081632653061,45,0,0.0,0,0,0.0,1.0,9.0,39.0
0002b7a7ab270a638fcb2eb5899c58696db24d9d954ddb43683dd6b0ffa292f0,2432,1,0.06,0.06,36,36,1,0.0,0.027777777777777776,36,0,0.0,0,0,0.0,0.0,6.0,30.0
0002cca4cc68601e894ab62839428e5f0696417fe0f9e84551c6827a7629d441,2121,8,0.41000000000000003,0.051250000000000004,37,37,8,0.0,0.21621621621621623,35,0,0.0,0,0,0.0,0.0,7.0,30.0
0002d2ef78ec29c03a951963a2694be963c06d7123b9726e4bde96e828d770f6,2150,1,0.03,0.03,45,45,1,0.0,0.022222222222222223,41,0,0.0,0,0,0.0,0.0,3.0,42.0
0002db27a1651998a3de4463437b580b45dfa7d8107afa778daad67b3d015d94,2599,1,0.08,0.08,34,34,1,0.0,0.029411764705882353,33,0,0.0,0,0,0.0,0.0,7.0,27.0
0002e6a17e3a75600888cac019846a600c9c6fe2bc1565613c6fa6c13f727071,2515,2,0.14,0.07,33,33,2,0.0,0.06060606060606061,31,0,0.0,0,0,0.0,0.0,5.0,28.0
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,1999,1,0.03,0.03,40,40,1,0.0,0.025,39,0,0.0,0,0,0.0,0.0,9.0,31.0
00033727677f91e311ad65609583d6f21f6871ea0ab73b54dfb916ebe92b9e3f,2263,1,0.05,0.05,30,30,1,0.0,0.03333333333333333,29,0,0.0,0,0,0.0,0.0,8.0,22.0
000346516dd355b40badca0c0f5f37a318ddae31f0e0f76a3a0454eb591b6384,2000,3,0.08,0.02666666666666667,26,26,3,0.0,0.11538461538461539,26,0,0.0,0,0,0.0,0.0,4.0,22.0
00036ffb474cd9818bd0d9045fd5863b0167aabae75e613722443c7b3264730d,2224,3,0.15000000000000002,0.05000000000000001,37,37,3,0.0,0.08108108108108109,35,0,0.0,0,0,0.0,0.0,7.0,30.0
0003867b41fdfb70b1a279010e6514cf0396899eef575061381678990fdceef3,2365,1,0.03,0.03,42,42,1,0.0,0.023809523809523808,41,0,0.0,0,0,0.0,1.0,6.0,35.0
0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,1957,1,0.05,0.05,34,34,1,0.0,0.029411764705882353,33,0,0.0,0,0,0.0,1.0,5.0,28.0
0003e7b27d3dd2295e609bcc017e96a05f322cd25fdaa717f5d2ed124a762843,2214,1,0.03,0.03,38,38,1,0.0,0.02631578947368421,35,0,0.0,0,0,0.0,0.0,9.0,29.0
0003ea63da109dffa9af1b4323338b4ebc9501f90505c87a4947a445ebfb8607,2493,1,0.03,0.03,32,32,1,0.0,0.03125,29,0,0.0,0,0,0.0,0.0,4.0,28.0
000400dcdcf45d8d1ad1bd63be6fbd79a49167adf0cf28792cb97a53dbad3ff2,2518,2,0.07,0.035,41,41,2,0.0,0.04878048780487805,37,0,0.0,0,0,0.0,0.0,4.0,37.0
0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,2514,1,0.04,0.04,41,41,1,0.0,0.024390243902439025,38,0,0.0,0,0,0.0,0.0,7.0,34.0
